2020-03-21 12:59:23 status half-installed perl-base:amd64 5.28.1-6
2020-03-21 12:59:23 status unpacked perl-base:amd64 5.28.1-6
2020-03-21 12:59:23 configure perl-base:amd64 5.28.1-6 5.28.1-6
2020-03-21 12:59:23 status half-configured perl-base:amd64 5.28.1-6
2020-03-21 12:59:23 status installed perl-base:amd64 5.28.1-6
2020-03-21 12:59:23 startup archives install
2020-03-21 12:59:23 install mawk:amd64 <none> 1.3.3-17+b3
2020-03-21 12:59:23 status half-installed mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:23 status unpacked mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:23 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2020-03-21 12:59:23 status half-configured mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:23 status installed mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:23 startup archives install
2020-03-21 12:59:23 install debconf:all <none> 1.5.71
2020-03-21 12:59:23 status half-installed debconf:all 1.5.71
2020-03-21 12:59:23 status unpacked debconf:all 1.5.71
2020-03-21 12:59:23 configure debconf:all 1.5.71 1.5.71
2020-03-21 12:59:23 status half-configured debconf:all 1.5.71
2020-03-21 12:59:23 status installed debconf:all 1.5.71
2020-03-21 12:59:23 startup archives unpack
2020-03-21 12:59:23 install gcc-8-base:amd64 <none> 8.3.0-6
2020-03-21 12:59:23 status half-installed gcc-8-base:amd64 8.3.0-6
2020-03-21 12:59:23 status unpacked gcc-8-base:amd64 8.3.0-6
2020-03-21 12:59:23 install libgcc1:amd64 <none> 1:8.3.0-6
2020-03-21 12:59:23 status half-installed libgcc1:amd64 1:8.3.0-6
2020-03-21 12:59:23 status unpacked libgcc1:amd64 1:8.3.0-6
2020-03-21 12:59:23 upgrade libc6:amd64 2.28-10 2.28-10
2020-03-21 12:59:23 status half-configured libc6:amd64 2.28-10
2020-03-21 12:59:23 status unpacked libc6:amd64 2.28-10
2020-03-21 12:59:23 status half-installed libc6:amd64 2.28-10
2020-03-21 12:59:23 status unpacked libc6:amd64 2.28-10
2020-03-21 12:59:23 install libidn2-0:amd64 <none> 2.0.5-1+deb10u1
2020-03-21 12:59:23 status half-installed libidn2-0:amd64 2.0.5-1+deb10u1
2020-03-21 12:59:23 status unpacked libidn2-0:amd64 2.0.5-1+deb10u1
2020-03-21 12:59:23 install libaudit-common:all <none> 1:2.8.4-3
2020-03-21 12:59:23 status half-installed libaudit-common:all 1:2.8.4-3
2020-03-21 12:59:23 status unpacked libaudit-common:all 1:2.8.4-3
2020-03-21 12:59:23 install libcap-ng0:amd64 <none> 0.7.9-2
2020-03-21 12:59:23 status half-installed libcap-ng0:amd64 0.7.9-2
2020-03-21 12:59:23 status unpacked libcap-ng0:amd64 0.7.9-2
2020-03-21 12:59:23 install libaudit1:amd64 <none> 1:2.8.4-3
2020-03-21 12:59:23 status half-installed libaudit1:amd64 1:2.8.4-3
2020-03-21 12:59:23 status unpacked libaudit1:amd64 1:2.8.4-3
2020-03-21 12:59:23 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2020-03-21 12:59:23 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-03-21 12:59:23 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-03-21 12:59:23 install liblzma5:amd64 <none> 5.2.4-1
